;; -*- coding: utf-8-mcs-er -*-
HZK12-C9F6	&HZK12-C9F6;	⿰&B-B6B3;&B-B3BE;
HZK12-C9F7	&HZK12-C9F7;	⿰朁&B-B3BE;
HZK12-C9F8	&HZK12-C9F8;	⿰&M-32709;&B-B3BE;
HZK12-C9F9	&HZK12-C9F9;	⿰菐&B-B3BE;
HZK12-C9FA	&HZK12-C9FA;	⿱&GT-16763;&B-B3BE;
HZK12-C9FB	&HZK12-C9FB;	⿳⿰目目冖&B-B3BE;
HZK12-C9FC	&HZK12-C9FC;	&B-A6E4;&M-15992;&B-B3BE;
HZK12-CA4B	&HZK12-CA4B;	⿰喉&B-B3BE;
HZK12-CA4D	&HZK12-CA4D;	⿲囧月&B-B3BE;
HZK12-CA4F	&HZK12-CA4F;	⿰絜&B-B3BE;
HZK12-CA50	&HZK12-CA50;	⿰&B-B6C1;&B-B3BE;
HZK12-CA52	&HZK12-CA52;	⿰&B-B3BE;&B-B96D;
HZK12-CA53	&HZK12-CA53;	&B-AB41;火&B-B3BE;
HZK12-CA54	&HZK12-CA54;	⿰&B-B3BE;&GT-24496;
HZK12-CA56	&HZK12-CA56;	⿰&GT-24496;&CDP-8A52;
HZK12-CA57	&HZK12-CA57;	&B-AB41;&CDP-8CD5;&B-B3BE;
HZK12-CA58	&HZK12-CA58;	自𠦂&B-B3BE;
HZK12-CA59	&HZK12-CA59;	⿱舒&B-B3BE;
HZK12-A6EB	&HZK12-A6EB;	⿰&B-ADBA;犮
HZK12-A6EC	&HZK12-A6EC;	⿰犮&B-ADBA;
HZK12-A6ED	&HZK12-A6ED;	犮巛𦣻
HZK12-A6EE	&HZK12-A6EE;	⿰皮&B-ADBA;
HZK12-A6EF	&HZK12-A6EF;	⿰&B-ADBA;𦣝
HZK12-A6F0	&HZK12-A6F0;	巛𦣻臣
HZK12-A6F1	&HZK12-A6F1;	臣巛𦣻
HZK12-A6F2	&HZK12-A6F2;	⿰旨&B-ADBA;
HZK12-A6F3	&HZK12-A6F3;	旨巛𦣻
HZK12-A6F4	&HZK12-A6F4;	巛𦣻旨
HZK12-A6F5	&HZK12-A6F5;	⿰&B-ADBA;&GT-00387;
HZK12-A6F6	&HZK12-A6F6;	&B-ADBA;巳个
HZK12-A6F7	&HZK12-A6F7;	巛𦣻𦣝
HZK12-A6F8	&HZK12-A6F8;	𦣝巛𦣻
HZK12-A6F9	&HZK12-A6F9;	⿰&B-ADBA;甫
HZK12-A6FA	&HZK12-A6FA;	夾巛𦣻
HZK12-A6FB	&HZK12-A6FB;	⺊目&B-ADBA;
HZK12-A6FC	&HZK12-A6FC;	⿰肖&B-ADBA;
HZK12-A74A	&HZK12-A74A;	禾&GT-00132;&B-ADBA;
HZK12-A74B	&HZK12-A74B;	⿰&B-ADBA;&B-ADB6;
HZK12-A74C	&HZK12-A74C;	&M-09980;巛𦣻
HZK12-A74D	&HZK12-A74D;	⿰&B-ADBA;&B-ADBA;
HZK12-A74E	&HZK12-A74E;	&B-AD78;巛𦣻
HZK12-A74F	&HZK12-A74F;	⿱&B-D449;&B-ADBA;
HZK12-A750	&HZK12-A750;	&B-ADBA;冖止攴
HZK12-A751	&HZK12-A751;	⿰&B-ADBA;姬
HZK12-A752	&HZK12-A752;	⿰&B-ADBA;國
HZK12-A753	&HZK12-A753;	⿱嫩&B-ADBA;
HZK12-A754	&HZK12-A754;	&CDP-8D72;彡犮&B-ADBA;
HZK12-A755	&HZK12-A755;	⿱斷&B-ADBA;
HZK12-A76C	&HZK12-A76C;	⿰韋干
HZK12-A76D	&HZK12-A76D;	⿰韋&M-03118;
HZK12-A76F	&HZK12-A76F;	⿰韦&C1-4443;
HZK12-A770	&HZK12-A770;	⿰韋刄
HZK12-A771	&HZK12-A771;	⿰韋犬
HZK12-A772	&HZK12-A772;	⿰韋內
HZK12-A773	&HZK12-A773;	⿰韋爻
HZK12-A7AC	&HZK12-A7AC;	⿰韋今
HZK12-A7AD	&HZK12-A7AD;	⿰韋欠
HZK12-A7AF	&HZK12-A7AF;	⿰韋丕
HZK12-A7B1	&HZK12-A7B1;	⿰韦&CDP-8A66;
HZK12-A7B2	&HZK12-A7B2;	⿰韋戉
HZK12-A7B3	&HZK12-A7B3;	⿰韋占
HZK12-A7CC	&HZK12-A7CC;	⿰韋付
HZK12-A7CD	&HZK12-A7CD;	⿰韋斥
HZK12-A7CE	&HZK12-A7CE;	⿰韋夗
HZK12-A7CF	&HZK12-A7CF;	⿰韋包
HZK12-A7D0	&HZK12-A7D0;	⿰韋&GT-00138;
HZK12-A7D1	&HZK12-A7D1;	⿰韋它
HZK12-A7D2	&HZK12-A7D2;	⿰韋必
HZK12-A7D3	&HZK12-A7D3;	⿰韋弗
HZK12-A7D4	&HZK12-A7D4;	⿰弗韋
HZK12-A7D5	&HZK12-A7D5;	韋屮&M-03115;
HZK12-A7D6	&HZK12-A7D6;	⿰韋召
HZK12-A7D7	&HZK12-A7D7;	⿰韋亘
HZK12-A7D8	&HZK12-A7D8;	光韋
HZK12-A7D9	&HZK12-A7D9;	⿰韋曳
HZK12-A7DA	&HZK12-A7DA;	⿰韋因
HZK12-A7DB	&HZK12-A7DB;	⿰韋伏
HZK12-A7EC	&HZK12-A7EC;	⿰韋&M-14429;
HZK12-A7ED	&HZK12-A7ED;	⿰韋各
HZK12-A7EE	&HZK12-A7EE;	⿰韋&GT-00384;
HZK12-A7EF	&HZK12-A7EF;	⿰韋&M-00291;
HZK12-A7F0	&HZK12-A7F0;	⿳&GT-01896;韋&M-03115;
HZK12-A7F1	&HZK12-A7F1;	⿰韋艮
HZK12-A7F2	&HZK12-A7F2;	⿳士㓁韋
HZK12-A7F3	&HZK12-A7F3;	⿰韋甫
HZK12-A7F4	&HZK12-A7F4;	⿰韋束
HZK12-A7F5	&HZK12-A7F5;	⿰韋夾
HZK12-A7F6	&HZK12-A7F6;	歹㐄韋
HZK12-A7F7	&HZK12-A7F7;	⿰韋&CDP-85E7;
HZK12-A7F8	&HZK12-A7F8;	⿰韋肖
HZK12-A7F9	&HZK12-A7F9;	⿰佛韋
HZK12-A7FA	&HZK12-A7FA;	⿰韋役
HZK12-A7FB	&HZK12-A7FB;	⿰韋&GT-01760;
HZK12-A7FC	&HZK12-A7FC;	⿰&GT-57812;&GT-07201;灬
HZK12-A7FD	&HZK12-A7FD;	⿰韋&B-AAFB;
HZK12-A7FE	&HZK12-A7FE;	⿰&GT-57812;云木
HZK12-A84D	&HZK12-A84D;	⿰𠦝韦
HZK12-A84E	&HZK12-A84E;	⿰韋或
HZK12-A84F	&HZK12-A84F;	⿰韋&GT-00358;
HZK12-A850	&HZK12-A850;	⿰韋非
HZK12-A851	&HZK12-A851;	⿰韋沓
HZK12-A852	&HZK12-A852;	⿰韋卑
HZK12-A853	&HZK12-A853;	⿰韋彼
HZK12-A854	&HZK12-A854;	⿰韋&GT-03636;
HZK12-A855	&HZK12-A855;	⿰&GT-57812;&GT-07201;田
HZK12-A856	&HZK12-A856;	⿰韋匊
HZK12-A858	&HZK12-A858;	⿳亠圍&GT-07201;
HZK12-A859	&HZK12-A859;	⿰韋&M-09266;
HZK12-A85A	&HZK12-A85A;	⿰韋&GT-08917;
HZK12-A85B	&HZK12-A85B;	⿰韋&B-ADB2;
HZK12-A85D	&HZK12-A85D;	⿰韋是
HZK12-A86D	&HZK12-A86D;	⿺是韦
HZK12-A86F	&HZK12-A86F;	⿰韦日皿
HZK12-A870	&HZK12-A870;	⿰韋曷
HZK12-A871	&HZK12-A871;	⿰韋复
HZK12-A872	&HZK12-A872;	⿰韋段
HZK12-A873	&HZK12-A873;	⿰韋盾
HZK12-A874	&HZK12-A874;	⿰韋&GT-25242;
HZK12-A875	&HZK12-A875;	⿰⿳&CDP-8DEC;口巾⿱&M-19655;旧
HZK12-A876	&HZK12-A876;	⿰韋&C1-5022;
HZK12-A877	&HZK12-A877;	⿰&GT-57812;⿱⿱亠厶冉
HZK12-A878	&HZK12-A878;	⿰韋宣
HZK12-A87A	&HZK12-A87A;	⿰韋叚
HZK12-A8B0	&HZK12-A8B0;	⿰韋&CDP-8C73;
HZK12-A8B1	&HZK12-A8B1;	⿰韋荅
HZK12-A8B2	&HZK12-A8B2;	⿸⿰𠦝𠂉韋
HZK12-A8B3	&HZK12-A8B3;	⿰韋尃
HZK12-A8B4	&HZK12-A8B4;	⿰&GT-57812;大束
HZK12-A8B5	&HZK12-A8B5;	⿰韋&CDP-8947;
HZK12-A8B6	&HZK12-A8B6;	⿰韋畢
HZK12-A8B7	&HZK12-A8B7;	⿰韋&CDP-8ACB;
HZK12-A8B8	&HZK12-A8B8;	⿰韋&B-B0AD;
HZK12-CA5A	&HZK12-CA5A;	⿰&GT-36979;&B-B3BE;
HZK12-CA5D	&HZK12-CA5D;	⿰&M-30339;&B-B3BE;
HZK12-CA5E	&HZK12-CA5E;	⿰&B-B648;&B-B3BE;
HZK12-CA5F	&HZK12-CA5F;	⿹勹&CDP-8DF9;人⿰丨丨&B-B3BE;
HZK12-CA6B	&HZK12-CA6B;	⿰然&B-B3BE;
HZK12-CA6C	&HZK12-CA6C;	⿰⿱&GT-K04876;火&B-B3BE;
HZK12-CA6D	&HZK12-CA6D;	⿰&B-B6BE;&B-B3BE;
HZK12-CA6E	&HZK12-CA6E;	⿰就&B-B3BE;
HZK12-CA70	&HZK12-CA70;	⿱就&CDP-8A52;
HZK12-CA72	&HZK12-CA72;	⿰敦&B-B3BE;
HZK12-CA73	&HZK12-CA73;	⿱敦&B-B3BE;
HZK12-CA74	&HZK12-CA74;	⿰童&B-B3BE;
HZK12-CA75	&HZK12-CA75;	⿰粦&B-B3BE;
HZK12-CA76	&HZK12-CA76;	⿲涑力&B-B3BE;
HZK12-CA77	&HZK12-CA77;	⿰富&B-B3BE;
HZK12-CA78	&HZK12-CA78;	⿰寓&B-B3BE;
HZK12-CA7A	&HZK12-CA7A;	⿰&B-B6A1;&B-B3BE;
HZK12-CA7C	&HZK12-CA7C;	&CDP-88E4;口&B-B3BE;
HZK12-CAAE	&HZK12-CAAE;	尸禹&B-B3BE;
HZK12-CAAF	&HZK12-CAAF;	⿱粥&B-B3BE;
HZK12-CAB0	&HZK12-CAB0;	⿰登&B-B3BE;
HZK12-CAB2	&HZK12-CAB2;	⿰矞&CDP-8A52;
HZK12-CAB3	&HZK12-CAB3;	⿰結&B-B3BE;
HZK12-CAB5	&HZK12-CAB5;	⿰&B-B3BE;&M-09208;
HZK12-CAB6	&HZK12-CAB6;	⿱&B-B9AA;&B-B3BE;
HZK12-CAB7	&HZK12-CAB7;	&CDP-8D44;卵&B-B3BE;
HZK12-CAB8	&HZK12-CAB8;	士冖火&GT-21300;&B-B3BE;
HZK12-CAB9	&HZK12-CAB9;	⿰&B-B3BE;葴
HZK12-CABA	&HZK12-CABA;	⿰葛&B-B3BE;
HZK12-CABB	&HZK12-CABB;	⿰&GT-41004;&B-B3BE;
HZK12-CABD	&HZK12-CABD;	⿰&B-B8EB;&B-B3BE;
HZK12-CACD	&HZK12-CACD;	⿰&B-B970;&B-B3BE;
HZK12-CACE	&HZK12-CACE;	⿰&B-B973;&B-B3BE;
HZK12-CACF	&HZK12-CACF;	⿰&G0-7453;&B-B3BE;
HZK12-CAD0	&HZK12-CAD0;	⿰&B-E057;&B-B3BE;
