;; -*- coding: utf-8-mcs-er -*-
U+2EE45	𮹅	⿰马末
U+2EE46	𮹆	⿰马异
U+2EE47	𮹇	⿰马𡉼
U+2EE48	𮹈	⿰马宏
U+2EE49	𮹉	⿰马青
U+2EE4A	𮹊	⿰马朋
U+2EE4B	𮹋	⿰马周
U+2EE4C	𮹌	⿰马昷
U+2EE4D	𮹍	⿰马息
U+2EE4E	𮹎	⿰马曼
U+2EE4F	𮹏	⿰马壹
U+2EE50	𮹐	⿰马晶
U+2EE51	𮹑	⿰鬲同
U+2EE52	𮹒	⿺鬼大
U+2EE53	𮹓	⿱文鱼
U+2EE54	𮹔	⿹&CDP-8964;水
U+2EE55	𮹕	⿱代鸟
U+2EE56	𮹖	⿰咀鸟
U+2EE57	𮹗	⿰岺鸟
U+2EE58	𮹘	⿱𤇾鸟
U+2EE59	𮹙	⿰崔鸟
U+2EE5A	𮹚	⿰崟鸟
U+2EE5B	𮹛	⿰澋鸟
U+2EE5C	𮹜	⿰燕鸟
U+2EE5D	𮹝	⿱龙𱍂
