;; -*- coding: utf-8-mcs-er -*-
C2-2662	&I-C2-2662;	⿰⺖占
C2-2663	&I-C2-2663;	⿰⺖兄
C2-2664	&I-C2-2664;	⿰⺖且
C2-2665	&I-C2-2665;	⿰⺖由
C2-2666	&I-C2-2666;	⿰⺖&C1-463E;
C2-2667	&I-C2-2667;	⿰⺖失
C2-2668	&I-C2-2668;	⿰⺖乍
C2-2669	&I-C2-2669;	⿰⺖句
C2-266A	&I-C2-266A;	⿰⺖幼
C2-266B	&C2-266B;	⿰⺖&C1-4643;
C2-266C	&C2-266C;	⿰⺖半
C2-266D	&I-C2-266D;	⿰⺖丕
C2-266E	&I-C2-266E;	⿰⺖包
C2-266F	&C2-266F;	⿰⺖&GT-K01023;
C2-2670	&I-C2-2670;	⿱戈戈
C2-2671	&C2-2671;	⿸戶斗
C2-2672	&I-C2-2672;	⿰⺘⿱宀儿
C2-2673	&I-C2-2673;	⿰⺘世
C2-2674	&I-C2-2674;	⿰⺘甘
C2-2675	&I-C2-2675;	⿰⺘去
C2-2676	&I-C2-2676;	⿰⺘布
C2-2677	&I-C2-2677;	⿰⺘失
C2-2678	&I-C2-2678;	⿰⺘付
C2-2679	&I-C2-2679;	⿰⺘㐱
