;; -*- coding: utf-8-mcs-er -*-
C1-4855	&I-C1-4855;	&GT-37363;
C1-4856	&C1-4856;	&C1-4856;
C1-4857	&I-C1-4857;	聿
C1-4858	&I-C1-4858;	肉
C1-4859	&C1-4859;	⿰&CDP-8A73;力
C1-485A	&C1-485A;	⿰&CDP-8A73;几
C1-485B	&I-C1-485B;	臣
C1-485C	&I-C1-485C;	自
C1-485D	&I-C1-485D;	⿱&GT-03877;土
C1-485E	&I-C1-485E;	臼
C1-485F	&C1-485F;	⿱千口
C1-4860	&C1-4860;	&C1-4860;
C1-4861	&I-C1-4861;	舟
C1-4862	&I-C1-4862;	艮
C1-4863	&I-C1-4863;	色
C1-4864	&C1-4864;	⿱艹乂
C1-4865	&I-C1-4865;	虫
C1-4866	&I-C1-4866;	⿱丿皿
C1-4867	&I-C1-4867;	⿰彳亍
C1-4868	&I-C1-4868;	衣
C1-4869	&I-C1-4869;	&C1-4869;
C1-486A	&I-C1-486A;	⿰⻖千
C1-486B	&I-C1-486B;	串
C1-486C	&I-C1-486C;	⿱⿱亠口了
C1-486D	&I-C1-486D;	⿰⺅&C1-4721;
C1-486E	&I-C1-486E;	⿰⺅主
C1-486F	&C1-486F;	⿰⺅宁
C1-4870	&I-C1-4870;	⿰⺅它
C1-4871	&C1-4871;	⿸仁&C1-444C;
C1-4872	&I-C1-4872;	⿰⺅半
C1-4873	&I-C1-4873;	⿰⺅弗
C1-4874	&I-C1-4874;	⿰⺅可
C1-4875	&I-C1-4875;	⿰⺅古
C1-4876	&I-C1-4876;	⿰⺅左
C1-4877	&I-C1-4877;	⿰⺅右
C1-4878	&I-C1-4878;	⿰⺅加
C1-4879	&I-C1-4879;	⿰⺅司
C1-487A	&I-C1-487A;	⿰⺅申
C1-487B	&I-C1-487B;	⿰⺅田
C1-487C	&I-C1-487C;	⿰⺅占
C1-487D	&I-C1-487D;	⿰⺅&GT-00483;
C1-487E	&I-C1-487E;	⿰⺅旦
C1-4921	&I-C1-4921;	⿰⺅用
C1-4922	&I-C1-4922;	⿰⺅乍
C1-4923	&I-C1-4923;	⿰⺅&GT-09429;
C1-4924	&I-C1-4924;	⿰⺅白
C1-4925	&I-C1-4925;	⿰⺅&M-17027;
C1-4926	&C1-4926;	⿰⺅&GT-K01023;
C1-4927	&I-C1-4927;	⿱&CDP-8AFC;朩
C1-4928	&I-C1-4928;	⿰⺅句
C1-4929	&I-C1-4929;	⿰⺅布
C1-492A	&I-C1-492A;	⿰⺅失
C1-492B	&C1-492B;	⿱&C1-442C;兄
C1-492C	&I-C1-492C;	⿱古儿
C1-492D	&I-C1-492D;	⿱&CDP-8B5B;&CDP-8BCB;
C1-492E	&I-C1-492E;	⿱丘&GT-K00059;
C1-492F	&I-C1-492F;	⿰冫台
C1-4930	&C1-4930;	⿰冫&GT-K01023;
C1-4931	&I-C1-4931;	⿰𠮠刂
C1-4932	&I-C1-4932;	⿰半刂
C1-4933	&I-C1-4933;	⿰禾刂
C1-4934	&I-C1-4934;	⿰冊刂
C1-4935	&I-C1-4935;	⿰包刂
C1-4936	&I-C1-4936;	⿰去力
C1-4937	&I-C1-4937;	⿰且力
C1-4938	&I-C1-4938;	⿱&C1-4643;力
C1-4939	&I-C1-4939;	⿰句力
C1-493A	&I-C1-493A;	⿷匚甲
C1-493B	&I-C1-493B;	⿰&CDP-8B7C;卩
C1-493C	&I-C1-493C;	⿰𠂑卪
C1-493D	&I-C1-493D;	⿱文口
C1-493E	&I-C1-493E;	⿰口亢
C1-493F	&I-C1-493F;	⿱天口
C1-4940	&I-C1-4940;	⿱五口
C1-4941	&I-C1-4941;	⿱不口
C1-4942	&I-C1-4942;	⿰口尺
C1-4943	&I-C1-4943;	⿰口巴
C1-4944	&C1-4944;	⿱口木
C1-4945	&I-C1-4945;	⿰口厄
C1-4946	&C1-4946;	⿺口&CDP-8CD5;
C1-4947	&M-03363;	⿱口&CDP-8BBC;
C1-4948	&I-C1-4948;	⿳口丿口
C1-4949	&I-C1-4949;	⿸尹口
C1-494A	&C1-494A;	⿰口&C1-4521;
C1-494B	&I-C1-494B;	⿱⺧口
C1-494C	&I-C1-494C;	⿰口&GT-20571;
C1-494D	&I-C1-494D;	⿰口勿
C1-494E	&I-C1-494E;	⿰口&M-03118;
C1-494F	&I-C1-494F;	⿰口允
C1-4950	&I-C1-4950;	⿰口少
C1-4951	&C1-4951;	⿰口內
C1-4952	&I-C1-4952;	⿰口犬
C1-4953	&I-C1-4953;	⿰口孔
C1-4954	&C1-4954;	⿰口&M-19909;
C1-4955	&I-C1-4955;	⿰口支
C1-4956	&I-C1-4956;	⿱&GT-00467;口
C1-4957	&I-C1-4957;	⿰口&GT-00467;
C1-4958	&I-C1-4958;	⿰口斤
C1-4959	&I-C1-4959;	⿴&CDP-8CC8;&CDP-89D5;
C1-495A	&I-C1-495A;	⿴囗木
C1-495B	&I-C1-495B;	⿴囗屯
C1-495C	&I-C1-495C;	⿴囗勿
C1-495D	&I-C1-495D;	⿰&GT-K00199;方
C1-495E	&I-C1-495E;	⿰&GT-K00199;亢
C1-495F	&I-C1-495F;	⿰&GT-K00199;止
C1-4960	&I-C1-4960;	⿰&GT-K00199;丹
C1-4961	&C1-4961;	⿰&GT-K00199;&C1-4524;
C1-4962	&I-C1-4962;	⿰&GT-K00199;&GT-20571;
C1-4963	&I-C1-4963;	⿰&GT-K00199;&M-03118;
C1-4964	&I-C1-4964;	⿻土⿰人人
C1-4965	&I-C1-4965;	⿰&GT-K00199;不
C1-4966	&I-C1-4966;	⿰&GT-K00199;斤
C1-4967	&C1-4967;	⿰&C2-2142;士
C1-4968	&I-C1-4968;	夾
C1-4969	&C1-4969;	⿰&C2-2142;&C1-444C;
C1-496A	&C1-496A;	⿰&C1-444C;戶
C1-496B	&I-C1-496B;	⿰&C1-444C;方
C1-496C	&C1-496C;	⿰&C1-444C;&GT-00033;
C1-496D	&C1-496D;	⿰&C1-444C;&C1-4552;
C1-496E	&C1-496E;	⿰&C1-444C;少
C1-496F	&C1-496F;	⿰&C1-444C;夭
C1-4970	&C1-4970;	⿰&C1-444C;开
C1-4971	&C1-4971;	⿰&C1-444C;予
C1-4972	&C1-4972;	⿰&C1-444C;支
C1-4973	&C1-4973;	⿰&C1-444C;&C1-4531;
C1-4974	&C1-4974;	⿱爫&C1-444C;
C1-4975	&I-C1-4975;	⿱耂子
C1-4976	&I-C1-4976;	⿰子攵
C1-4977	&I-C1-4977;	⿱爫子
C1-4978	&I-C1-4978;	⿱&CDP-8D52;子
C1-4979	&I-C1-4979;	⿱宀元
C1-497A	&I-C1-497A;	⿱宀木
C1-497B	&I-C1-497B;	⿱宀厷
C1-497C	&I-C1-497C;	⿺&M-07538;介
C1-497D	&I-C1-497D;	⿸尸&CDP-8C52;
C1-497E	&I-C1-497E;	⿸尸&C1-4552;
C1-4A21	&I-C1-4A21;	⿸尸水
C1-4A22	&I-C1-4A22;	⿸尸&C1-4553;
C1-4A23	&I-C1-4A23;	⿰山支
C1-4A24	&I-C1-4A24;	⿱山&GT-00467;
C1-4A25	&I-C1-4A25;	⿱&C1-4521;山
C1-4A26	&I-C1-4A26;	⿱山&M-03118;
C1-4A27	&I-C1-4A27;	巫
C1-4A28	&I-C1-4A28;	⿱㐅布
C1-4A29	&I-C1-4A29;	⿸广予
C1-4A2A	&C1-4A2A;	⿸广&C1-4552;
C1-4A2B	&I-C1-4A2B;	⿸广木
C1-4A2C	&I-C1-4A2C;	⿺廴&CDP-8BBC;
C1-4A2D	&I-C1-4A2D;	⿱王廾
C1-4A2E	&I-C1-4A2E;	⿹丿弚
C1-4A2F	&I-C1-4A2F;	⿰丹彡
C1-4A30	&I-C1-4A30;	⿰开彡
C1-4A31	&I-C1-4A31;	⿰彳方
C1-4A32	&I-C1-4A32;	⿰彳殳
C1-4A33	&C1-4A33;	⿱&C1-4441;心
C1-4A34	&I-C1-4A34;	⿱己心
C1-4A35	&I-C1-4A35;	⿱士心
