;; -*- coding: utf-8-mcs-er -*-
CB00420	&CB00420;	⿰&GT-09854;阝
CB00421	&CB00421;	⿰血阝
CB00422	&CB00422;	⿰&GT-11950;阝
CB00423	&CB00423;	⿰金巳
CB00424	&CB00424;	⿰金勾
CB00425	&CB00425;	⿰金本
CB00426	&CB00426;	⿰金矛
CB00427	&CB00427;	⿰金足
CB00428	&CB00428;	⿰金&M-00703;
CB00429	&CB00429;	⿰金&M-07165;
CB00430	&CB00430;	⿰金巢
CB00431	&CB00431;	⿰金善
CB00432	&CB00432;	⿰金&GT-11938;
CB00433	&CB00433;	⿰金咠
CB00434	&CB00434;	⿻門众
CB00435	&CB00435;	⿻門⿰豆寸
CB00436	&CB00436;	⿻門&GT-11066;
CB00437	&CB00437;	⿻門卦
CB00438	&CB00438;	⿻門&M-00703;
CB00439	&CB00439;	⿻門為
CB00440	&CB00440;	⿻門視
CB00441	&CB00441;	⿻門龠
CB00442	&CB00442;	⿰阝㐌
CB00443	&CB00443;	⿰阝匧
CB00444	&I-CB00444;	⿰阝粦
CB00445	&CB00445;	⿰阝桑
CB00446	&CB00446;	⿰阝巢
CB00447	&CB00447;	⿰阝登
CB00448	&CB00448;	⿰阝&M-29093;
CB00449	&CB00449;	⿱雨&M-17316;
CB00450	&CB00450;	⿱雨&M-41941;
CB00451	&CB00451;	⿱&GT-57172;鳥
CB00452	&CB00452;	⿰亭󠄀也
CB00453	&CB00453;	⿰南犬
CB00454	&CB00454;	⿱南無
CB00455	&CB00455;	⿰馬㐌
CB00456	&I-CB00456;	⿹勹亾
CB00457	&I-CB00457;	⿱水丶
CB00458	&I-CB00458;	⿰&GT-27811;&GT-09425;
CB00459	&I-CB00459;	⿰眉羊
CB00460	&I-CB00460;	⿺兀王
CB00461	&CB00461;	⿰面包
CB00462	&CB00462;	⿰革&M-14283;
CB00463	&CB00463;	⿰革奇
CB00464	&CB00464;	⿰革畢
CB00465	&CB00465;	⿰革鳥
CB00466	&CB00466;	⿰革華
CB00467	&CB00467;	⿰革&M-31781;
CB00468	&CB00468;	⿰革卬
CB00469	&CB00469;	⿰韋&CDP-8C73;
CB00470	&CB00470;	⿰&GT-07480;鳥
CB00471	&I-CB00471;	⿺尾寸
CB00472	&I-CB00472;	⿰土&M-05711;
CB00473	&CB00473;	⿸&CDP-8CCC;目
CB00474	&CB00474;	⿱&CDP-8BC6;⿶凵田
CB00475	&I-CB00475;	⿹𢦏火
CB00476	&CB00476;	⿸疒&CB00008;
CB00477	&CB00477;	⿸疒⿱一艮
CB00478	&CB00478;	⿸疒歮
CB00479	&CB00479;	⿸疒⿺𠃊丙
CB00480	&CB00480;	⿸疒⿱&GT-00458;镸
CB00481	&CB00481;	⿸疒包
CB00482	&CB00482;	⿸疒尼
CB00483	&CB00483;	⿸疒&GT-26647;
CB00484	&CB00484;	⿸疒亞
CB00485	&CB00485;	⿸疒婁
CB00486	&CB00486;	⿸疒&GT-55994;
CB00487	&CB00487;	⿸疒黃
CB00488	&CB00488;	⿸疒&GT-19601;
CB00489	&CB00489;	⿸疒樂
CB00490	&CB00490;	⿸疒&GT-29518;
CB00491	&CB00491;	⿸疒&GT-30367;
CB00492	&CB00492;	⿸疒&GT-14527;
CB00493	&CB00493;	⿰&CDP-8BB9;人
CB00494	&CB00494;	⿰&CDP-8BB9;內󠄀
CB00495	&CB00495;	⿰&CDP-8BB9;果
CB00496	&CB00496;	⿰&CDP-8BB9;&GT-39816;
CB00497	&CB00497;	⿰&CDP-8BB9;羔
CB00498	&CB00498;	⿰&CDP-8BB9;善
CB00499	&CB00499;	⿰馬太
CB00500	&CB00500;	⿰馬&M-13450;
CB00501	&CB00501;	⿰馬犬
CB00502	&CB00502;	⿰馬丘
CB00503	&CB00503;	⿰馬央
CB00504	&CB00504;	⿰馬&M-07106;
CB00505	&CB00505;	⿰馬剽
CB00506	&I-CB00506;	⿱高木
CB00507	&CB00507;	⿻鬥⿰?斤
CB00508	&CB00508;	⿻鬥⿰豆寸
CB00509	&CB00509;	⿱商&GT-45972;
CB00510	&CB00510;	⿰國&M-21371;
CB00511	&CB00511;	⿱其虫
CB00512	&CB00512;	⿱執&GT-45972;
CB00513	&CB00513;	⿰專&GT-27544;
CB00514	&I-CB00514;	⿸厂圭
CB00515	&CB00515;	⿰石&CDP-8ACD;
CB00516	&CB00516;	⿱&J83-5A49;&M-48257;
CB00517	&I-CB00517;	⿱敏心
CB00518	&I-CB00518;	⿱斬心
CB00519	&I-CB00519;	⿰&CDP-8B7A;⿱夂火
CB00520	&CB00520;	⿰⺪束
CB00521	&CB00521;	⿱&CDP-8C4F;&GT-47348;
CB00522	&CB00522;	⿳艹犬皿
CB00523	&CB00523;	⿱&M-31078;虫
CB00524	&CB00524;	⿰&M-34092;&GT-26647;
CB00525	&CB00525;	⿰&M-34092;戒
CB00526	&CB00526;	⿰&M-34092;&GT-37779;
CB00527	&CB00527;	⿺⻎⿸&GT-11620;手
CB00528	&CB00528;	⿺⻎亦󠄀
CB00529	&CB00529;	⿺⻎向
CB00530	&CB00530;	⿺⻎幸
CB00531	&CB00531;	⿺⻎易
CB00532	&CB00532;	⿺⻎朔
CB00533	&CB00533;	⿺⻎&M-31794;
CB00534	&CB00534;	⿺⻎欶
CB00535	&CB00535;	⿰竟竟
CB00536	&CB00536;	⿰魚單
CB00537	&CB00537;	⿱魚䲆
